timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_in,network_out
1788933611.62,33.7,61.5,22034.13,26705.01,46.87,5.98
1788933612.62,22.1,60.8,1835.21,47587.58,4.0,5.0
1788933613.625,18.4,61.6,2742.07,22835.99,1.99,1.99
1788933614.627,12.7,60.6,1859.75,287.34,19.95,432.01
1788933615.628,10.5,60.9,43.99,663.81,37.99,14.0
1788933616.633,13.5,60.9,250.73,788.01,366.14,11.94
1788933617.638,14.5,60.9,51.74,254.72,987.03,80.59
1788933618.643,7.8,60.3,0.0,99.5,573.1,20.89
1788933619.644,10.8,60.4,27.97,1266.57,457.48,531.4
1788933620.649,8.3,60.2,3.98,7633.6,269.64,11.94
1788933621.655,6.3,60.1,0.0,103.43,260.56,11.93
1788933622.66,11.8,60.3,27.86,397.99,266.65,521.36
1788933623.66,5.8,60.3,79.93,155.86,271.76,356.68
1788933624.666,12.7,60.3,441.76,712.38,797.95,1381.98
1788933625.668,14.9,60.5,426.77,777.76,471.64,258.26
1788933626.673,12.7,60.6,31.84,155.22,197.01,40.79
1788933627.678,9.8,60.5,15.92,171.14,297.5,632.81
1788933628.684,8.0,60.5,0.0,99.5,207.95,61.69
1788933629.687,9.0,60.5,3.99,103.66,321.94,77.74
1788933630.692,7.3,60.4,0.0,99.5,222.87,82.58
1788933631.694,10.1,61.5,23.95,99.79,238.49,677.54
1788933632.699,14.0,61.9,155.21,346.24,253.71,728.29
1788933633.704,14.5,61.1,115.48,1322.08,155.3,74.67
1788933634.709,5.8,61.0,15.92,183.07,228.84,22.88
1788933635.711,6.8,60.3,0.0,99.78,319.28,77.83
1788933636.711,7.9,60.0,0.0,99.95,369.83,82.96
1788933637.716,8.0,60.0,0.0,103.48,504.46,694.51
1788933638.722,7.6,59.9,0.0,99.49,390.98,84.56
1788933639.727,11.3,59.9,0.0,107.46,512.42,109.45
1788933640.732,8.1,60.5,0.0,99.51,336.33,59.7
1788933641.737,11.7,60.6,0.0,103.48,287.54,88.55
1788933642.738,9.4,60.3,0.0,99.86,224.69,87.88
1788933643.741,9.1,60.2,0.0,99.68,180.41,63.79
1788933644.746,7.4,59.8,0.0,99.53,209.01,139.34
1788933645.747,8.3,59.8,0.0,107.91,312.73,76.93
1788933646.752,7.7,59.7,0.0,99.5,276.61,86.56
1788933647.757,6.5,60.4,0.0,95.51,292.51,74.62
1788933648.762,14.8,60.8,927.3,210.93,275.6,42.78
1788933649.767,17.3,60.7,831.78,3295.27,427.83,90.54
1788933650.772,11.8,60.8,7.96,14020.86,583.04,162.18
1788933651.777,13.5,60.5,143.28,210.94,619.88,123.38
1788933652.781,10.3,60.0,0.0,99.66,759.39,89.69
1788933653.785,7.6,59.9,31.87,330.63,777.78,86.64
1788933654.79,15.3,61.4,27.86,1233.79,730.32,84.57
1788933655.801,8.1,60.4,2796.43,2899.27,482.55,132.5
1788933656.806,6.3,60.3,0.0,103.47,394.0,44.77
1788933657.811,9.3,60.6,31.84,99.51,334.36,89.56
1788933658.816,10.9,60.5,115.42,44296.92,311.43,80.59
1788933659.821,18.1,59.9,433.8,171.13,155.21,617.87
1788933660.826,6.9,59.6,23.88,103.47,17.91,132.33
1788933661.827,7.6,59.3,111.93,2066.76,96.94,138.92
1788933662.832,7.0,59.2,0.0,179.09,20.89,69.65
1788933663.837,4.5,59.1,47.76,1166.14,19.9,73.63
1788933664.842,4.8,59.0,0.0,95.51,18.9,71.63
1788933665.847,6.5,59.6,0.0,99.5,21.89,608.92
1788933666.852,7.9,59.7,0.0,99.5,26.86,88.55
1788933667.855,6.2,59.1,19.95,99.73,29.92,89.75
1788933668.86,11.4,60.2,0.0,99.5,19.9,82.58
1788933669.862,15.0,60.3,43.94,243.65,28.96,72.9
1788933670.866,13.5,60.4,15.94,1521.85,24.9,65.73
1788933671.866,10.2,59.9,0.0,99.95,21.99,72.97
1788933672.871,8.5,59.7,35.82,99.5,20.9,107.46
1788933673.875,7.5,59.4,47.83,115.59,57.79,89.68
1788933674.88,19.2,59.8,7263.23,330.33,47.76,101.49
1788933675.882,12.7,59.6,191.55,3052.89,99.77,103.76
1788933676.887,12.4,59.9,9717.23,270.7,67.67,141.32
1788933677.892,6.4,59.8,732.29,99.5,21.89,134.32
1788933678.897,6.2,59.8,59.7,115.42,25.87,70.64
1788933679.902,6.1,59.8,7.96,2698.37,17.91,63.68
1788933680.902,14.3,60.8,0.0,3067.32,27.99,67.98
1788933681.908,7.6,60.0,0.0,151.18,21.88,76.59
1788933682.913,11.8,60.6,0.0,557.19,12.93,6.96
1788933683.918,10.5,60.0,0.0,851.67,6.96,111.43
1788933684.923,7.9,59.5,0.0,99.5,19.9,71.64
1788933685.927,10.0,59.9,0.0,107.58,25.9,78.7
1788933686.932,7.2,59.9,0.0,99.5,20.89,68.65
1788933687.936,8.7,59.7,1067.95,107.59,22.91,81.69
1788933688.941,10.2,59.8,143.27,107.46,25.87,128.35
1788933689.946,8.2,59.8,254.72,115.42,27.86,96.51
1788933690.951,7.7,59.7,167.09,127.31,25.86,32.82
1788933691.956,8.9,60.5,0.0,270.57,63.66,81.57
1788933692.959,10.1,60.1,7.98,99.76,39.9,67.83
1788933693.961,20.7,60.4,534.79,291.34,50.89,120.73
1788933694.964,10.2,60.0,51.86,107.7,48.87,118.67
1788933695.969,11.4,60.0,4258.58,119.4,98.5,94.52
1788933696.97,20.6,61.7,4358.97,5194.01,1062.77,179.79
1788933697.971,16.8,60.5,91.9,159.82,774.13,134.85
1788933698.977,7.1,59.9,0.0,95.46,20.88,77.56
1788933699.982,6.6,59.6,0.0,1611.61,37.8,52.73
1788933700.987,8.4,59.6,15.92,103.46,17.91,87.55
1788933701.992,6.7,59.5,0.0,99.49,20.89,76.6
1788933702.995,6.9,59.6,0.0,905.27,21.93,76.77
1788933703.996,16.1,61.4,16.0,503.87,29.99,128.97
1788933705.001,8.0,60.5,171.12,107.45,31.84,107.45
1788933706.002,12.9,60.3,1014.82,351.59,12.98,31.96
1788933707.004,9.7,60.3,119.7,143.64,73.81,540.63
1788933708.01,10.2,60.0,0.0,95.5,20.89,71.63
1788933709.015,6.5,60.1,0.0,99.49,32.83,94.51
1788933710.018,13.7,60.4,83.69,5906.31,156.43,622.71
1788933711.024,11.3,60.4,0.0,497.45,59.69,694.44
1788933712.025,6.0,60.3,0.0,99.86,15.98,75.89
1788933713.03,8.1,60.4,270.61,517.35,100.49,144.26
1788933714.035,13.1,60.3,7.96,103.52,8.96,31.85
1788933715.038,8.1,60.2,63.79,139.53,32.89,484.38
1788933716.043,8.0,60.2,0.0,103.47,26.86,73.63
1788933717.05,6.7,60.1,0.0,218.57,18.88,68.55
1788933718.055,8.6,60.2,0.0,1126.23,18.9,79.59
1788933719.06,5.9,60.2,0.0,99.49,16.91,70.64
1788933720.061,8.7,60.2,0.0,163.85,129.88,620.45
1788933721.066,9.6,60.2,0.0,99.49,42.78,1274.48
1788933722.071,5.7,60.2,0.0,274.71,20.9,79.63
1788933723.073,5.4,60.0,0.0,99.79,14.97,14.97
1788933724.075,5.0,59.9,0.0,99.76,19.95,73.82
1788933725.086,5.4,60.1,0.0,94.98,20.78,75.19
1788933726.091,4.9,60.0,0.0,99.49,20.89,80.59
1788933727.096,5.8,60.0,0.0,1106.39,20.89,64.67
1788933728.101,8.9,60.0,0.0,99.5,27.86,68.65
1788933729.106,5.7,60.0,63.68,99.49,15.92,72.63
1788933730.109,7.5,60.0,0.0,99.71,25.92,78.77
1788933731.114,7.0,60.2,0.0,214.91,78.6,137.3
1788933732.119,5.0,60.1,111.44,99.5,7.96,3.98
1788933733.122,5.3,60.1,0.0,99.75,15.96,68.83
1788933734.127,4.9,60.1,0.0,95.52,21.89,69.65
1788933735.132,14.3,60.8,282.57,214.91,88.55,562.15
1788933736.133,13.9,60.9,259.81,227.84,80.94,112.92
1788933737.138,13.5,60.5,0.0,99.5,18.9,708.4
1788933738.138,10.1,60.4,4.0,115.95,62.97,117.95
1788933739.143,9.7,60.5,99.5,151.23,134.32,764.13
1788933740.148,13.0,60.7,27.87,6649.28,70.67,137.37
1788933741.153,7.0,60.0,0.0,103.48,29.85,47.76
1788933742.159,4.4,59.9,63.6,166.95,20.87,71.55
1788933743.164,7.0,60.2,0.0,210.93,8.95,8.95
1788933744.169,17.0,60.7,163.17,310.43,86.56,160.19
1788933745.174,19.0,60.5,10431.07,8035.23,57.71,122.38
1788933746.179,9.6,60.4,3.98,569.29,27.87,11.94
1788933747.184,21.4,61.2,994.98,8142.94,1790.97,364.16
1788933748.189,22.1,61.2,202.97,4946.94,563.15,986.0
1788933749.194,17.7,61.1,1329.27,6713.99,1307.38,273.61
1788933750.199,12.9,61.3,6845.55,1667.61,92.53,162.18
1788933751.205,15.1,61.3,3.98,107.44,59.69,216.87
1788933752.21,17.6,61.4,135.32,7124.02,1043.73,231.83
1788933753.212,18.1,61.2,71.8,4731.0,814.76,247.32
1788933754.216,16.6,61.3,430.46,9079.62,605.84,279.01
1788933755.221,12.9,61.2,183.12,1946.59,75.63,155.25
1788933756.226,14.7,61.1,75.62,712.4,42.78,186.06
1788933757.231,9.2,60.9,3.98,131.33,1.99,4.97
1788933758.233,6.4,60.3,223.62,99.83,16.97,73.88
1788933759.235,5.9,60.3,0.0,99.76,26.93,140.66
1788933760.238,7.2,60.2,59.85,95.76,29.93,76.81
1788933761.243,5.8,60.0,274.61,103.48,14.92,68.65
1788933762.248,10.1,59.6,0.0,99.5,16.91,52.73
1788933763.249,10.8,60.0,0.0,99.84,24.96,93.85
1788933764.25,8.9,60.4,19.98,99.91,24.98,72.94
1788933765.255,9.4,60.6,123.38,3848.55,5.97,47.76
1788933766.259,11.9,60.6,3.99,318.88,20.93,79.72
1788933767.264,7.7,60.3,0.0,99.5,13.93,69.65
1788933768.27,4.8,60.0,826.78,1319.67,22.86,60.62
1788933769.275,10.1,59.9,7.96,234.81,18.9,78.6
1788933770.279,7.1,60.2,3.99,5453.38,41.86,136.53
1788933771.28,3.8,60.3,0.0,99.81,15.97,39.92
1788933772.283,6.4,59.9,31.93,99.78,28.94,117.75
1788933773.287,5.7,59.8,3.98,270.7,21.89,68.67
1788933774.292,6.7,60.4,11.94,370.12,11.94,8.95
1788933775.293,5.3,60.2,0.0,223.9,17.99,115.95
1788933776.298,5.9,60.0,0.0,1134.29,21.89,79.6
1788933777.318,11.2,60.3,0.0,94.09,16.66,62.73
1788933778.323,9.6,60.4,47.76,99.5,11.94,69.65
1788933779.323,13.7,60.4,7058.17,99.97,50.99,72.98
1788933780.326,11.8,60.4,7.98,99.75,59.85,75.81
1788933781.331,15.4,60.5,720.33,230.82,92.53,190.03
1788933782.336,7.7,60.4,19.9,489.52,72.63,9.95
1788933783.341,11.2,60.2,111.43,445.74,101.48,78.6
1788933784.346,8.7,60.2,15.92,175.15,37.82,83.6
1788933785.351,8.9,60.1,99.5,390.04,53.73,126.37
1788933786.356,6.8,60.2,15.93,191.14,42.81,122.45
1788933787.361,5.1,59.9,15.92,99.5,21.89,70.64
1788933788.366,8.6,60.3,0.0,115.41,22.88,91.54
1788933789.366,8.4,60.2,0.0,99.97,23.99,121.96
1788933790.37,7.2,60.2,1019.51,99.56,9.96,7.96
1788933791.375,5.0,60.1,0.0,533.29,13.93,65.67
1788933792.379,15.2,60.7,23.91,99.62,27.89,125.52
1788933793.384,11.5,60.7,0.0,127.36,30.85,75.62
1788933794.39,14.8,60.4,3.98,95.49,17.9,76.59
1788933795.395,7.8,60.3,35.82,1325.28,17.91,83.58
1788933796.399,10.2,60.3,0.0,99.59,17.93,73.7
1788933797.404,5.6,59.9,0.0,99.51,24.88,121.41
1788933798.406,7.1,60.2,0.0,99.79,13.97,4.99
1788933799.411,7.4,60.2,0.0,99.5,14.92,80.59
1788933800.416,7.7,60.0,0.0,4075.26,21.89,73.63
1788933801.421,4.3,59.7,0.0,99.5,23.88,71.64
1788933802.426,3.8,59.5,0.0,99.5,19.9,75.62
1788933803.431,3.5,59.4,0.0,254.61,23.87,125.32
1788933804.437,5.8,59.8,0.0,99.5,15.92,70.64
1788933805.44,10.9,60.2,3.98,103.6,33.87,91.64
1788933806.445,10.7,60.1,362.21,226.88,21.89,82.59
1788933807.449,9.1,60.1,733.45,107.63,5.98,2.99
1788933808.454,9.5,59.7,31.84,99.5,25.87,159.19
1788933809.455,7.0,59.8,19.98,107.92,22.98,69.95
1788933810.459,7.7,60.3,7.96,1130.93,11.95,76.66
1788933811.466,6.5,60.0,0.0,476.66,28.8,66.53
1788933812.469,15.0,59.8,0.0,99.67,13.95,77.74
1788933813.471,9.1,60.1,0.0,99.82,19.96,72.87
1788933814.476,8.1,60.1,0.0,99.49,24.87,119.39
1788933815.481,4.8,59.8,0.0,99.5,1.99,3.98
1788933816.486,3.9,59.7,0.0,99.5,24.87,79.6
1788933817.491,4.0,59.6,0.0,99.5,16.91,68.65
1788933818.493,4.1,59.6,0.0,99.81,23.95,74.85
1788933819.498,4.5,59.4,7.96,99.5,32.83,127.36
1788933820.512,3.9,59.4,39.46,465.64,15.78,61.16
1788933821.517,3.7,59.4,15.92,111.43,17.91,67.66
1788933822.522,4.3,59.3,3.98,99.5,39.8,21.89
1788933823.525,13.9,60.8,0.0,155.63,31.92,5.99
1788933824.53,10.9,61.6,286.53,175.1,24.87,16.91
1788933825.535,14.0,60.8,0.0,99.5,64.67,181.08
1788933826.538,9.9,60.6,31.9,1144.56,36.89,68.79
1788933827.543,6.2,60.6,0.0,756.18,4.97,18.9
1788933828.548,12.2,61.2,246.76,171.14,16.91,73.63
1788933829.556,8.4,60.4,134.94,103.19,15.88,76.4
1788933830.561,9.9,60.3,8994.58,3888.36,48.75,146.26
1788933831.564,5.9,60.3,0.0,99.66,37.87,86.7
1788933832.569,4.6,60.2,0.0,99.5,19.9,17.91
1788933833.574,10.3,61.6,0.0,99.57,24.89,136.41
1788933834.578,11.6,61.6,15.92,175.17,44.79,83.6
1788933835.581,7.7,61.6,0.0,107.7,25.93,109.7
1788933836.586,7.9,60.9,31.84,903.46,4.98,3.98
1788933837.591,5.3,60.4,0.0,99.5,25.87,83.58
1788933838.596,11.3,60.3,0.0,95.51,28.85,81.58
1788933839.601,5.9,60.2,0.0,103.48,18.9,85.57
1788933840.606,7.3,60.2,35.82,99.5,16.91,63.68
1788933841.611,7.3,60.2,3.98,103.48,15.92,55.72
1788933842.612,10.3,60.1,39.99,99.98,10.0,78.99
1788933843.617,9.4,60.1,7.96,111.44,31.84,84.57
1788933844.622,7.2,60.0,0.0,99.5,22.88,66.66
1788933845.627,9.0,60.1,0.0,103.48,14.92,61.69
1788933846.632,9.1,60.0,27.86,99.5,33.83,145.27
1788933847.637,9.9,60.3,39.8,191.03,53.73,79.6
1788933848.638,4.9,59.7,0.0,99.93,20.99,68.96
1788933849.643,6.5,60.0,979.05,99.5,14.92,11.94
1788933850.644,6.0,60.0,0.0,115.86,14.98,67.92
1788933851.646,9.4,60.2,0.0,103.79,21.96,81.83
1788933852.651,9.7,60.0,0.0,99.5,24.87,146.26
1788933853.656,7.2,60.0,3.98,99.5,19.9,62.68
1788933854.661,8.8,60.2,0.0,159.2,20.89,65.67
1788933855.667,9.9,60.4,3.98,222.66,58.65,72.56
1788933856.672,7.5,60.1,3.98,537.27,32.83,66.66
1788933857.677,9.1,60.1,63.68,1058.62,36.81,58.7
1788933858.679,12.8,60.9,3.99,191.63,41.92,108.79
1788933859.684,13.1,61.9,63.68,183.07,34.82,134.32
1788933860.686,12.3,60.8,111.75,5339.97,54.88,111.75
1788933861.687,7.7,60.8,0.0,99.91,30.97,12.99
1788933862.692,6.2,60.8,11.94,103.48,40.79,121.39
1788933863.697,8.1,60.9,15.92,314.42,32.83,79.6
1788933864.703,13.1,60.7,186.99,397.84,130.29,624.61
1788933865.708,9.1,60.7,0.0,107.45,19.9,84.57
1788933866.712,7.3,60.6,0.0,362.39,21.9,65.71
1788933867.717,11.8,60.6,0.0,111.43,32.83,157.2
1788933868.723,9.3,61.2,0.0,99.49,24.87,77.6
1788933869.725,14.9,60.8,155.57,271.24,67.81,67.81
1788933870.728,18.8,60.8,15.96,394.97,109.71,605.42
1788933871.733,12.4,61.3,0.0,318.4,41.79,110.44
1788933872.738,8.9,61.3,7.96,1094.5,57.71,99.5
1788933873.743,5.6,60.5,0.0,397.99,60.69,724.34
1788933874.743,8.2,60.8,1603.49,539.83,109.97,107.97
1788933875.748,16.4,60.7,2980.94,1699.41,50.74,111.44
1788933876.749,8.0,60.4,5374.56,619.83,92.98,8036.85
1788933877.754,7.9,60.2,0.0,1134.26,57.71,108.45
1788933878.759,6.5,60.2,0.0,513.4,56.71,112.43
1788933879.764,8.0,60.1,3.98,565.14,105.47,584.05
1788933880.769,13.0,60.1,0.0,525.36,46.77,102.49
1788933881.774,5.1,60.0,0.0,509.39,41.79,99.49
1788933882.779,19.4,61.1,6049.36,5281.25,48.75,50.74
1788933883.78,5.9,60.3,107.94,627.63,73.96,1291.24
1788933884.79,5.4,59.9,71.28,633.63,374.24,447.5
1788933885.8,12.0,60.1,7.92,530.66,45.54,85.14
1788933886.81,5.3,59.8,23.76,427.7,42.57,88.11
1788933902.749,10.7,60.4,5.02,375.93,2.89,7.22
1788933903.759,32.0,60.2,6352.3,1908.86,63.36,116.83
1788933904.769,18.7,60.5,7908.7,1453.43,63.36,53.46
1788933905.779,23.3,60.2,95.05,4661.27,52.47,115.84
1788933906.789,20.8,60.4,23116.26,2586.07,48.51,168.31
1788933907.799,7.6,60.5,265.34,910.87,68.31,126.73
1788933908.809,7.2,60.1,126.73,546.52,57.42,106.93
1788933909.819,4.5,60.3,87.13,320.78,47.52,103.96
1788933910.829,6.5,60.1,300.98,887.1,43.56,99.01
1788933911.83,14.4,60.3,147.8,439.4,43.94,101.86
1788933912.84,4.0,60.1,63.36,320.78,35.64,61.38
1788933913.85,6.2,60.3,2887.07,439.59,35.64,105.94
1788933914.857,6.9,60.1,361.52,433.03,47.67,94.35
1788933915.867,6.5,60.2,997.99,562.36,58.41,110.89
1788933916.871,12.6,60.2,15855.56,697.34,63.76,108.59
1788933917.881,19.7,60.6,5825.58,3564.26,63.36,171.28
1788933918.891,9.6,60.3,158.41,554.44,56.43,106.93
1788933919.892,4.7,60.2,63.92,327.61,51.94,105.87
1788933920.901,3.9,60.5,218.21,726.06,40.67,51.58
1788933921.911,3.7,60.3,126.73,693.05,27.72,95.05
1788933922.921,11.1,60.6,5936.47,756.41,48.51,131.68
1788933923.931,5.7,60.2,110.89,443.55,46.53,103.96
1788933924.941,11.7,60.5,182.17,558.4,51.48,71.29
1788933925.951,4.6,60.2,110.89,447.52,40.59,100.99
1788933926.958,9.2,60.4,95.28,365.25,36.72,62.53
1788933927.961,4.8,60.2,235.36,446.78,42.88,86.76
1788933928.962,3.4,60.3,111.93,679.59,23.99,29.98
1788933929.967,3.5,60.1,119.39,585.0,16.91,22.88
1788933930.973,4.1,60.1,401.64,1407.71,38.77,41.75
1788933931.983,11.8,60.4,79.21,368.3,27.72,34.65
1788933932.993,4.1,60.4,95.05,574.24,28.71,31.68
1788933934.003,4.5,60.4,174.25,724.74,27.72,29.7
1788933935.013,8.8,60.4,162.37,6863.19,27.72,31.68
1788933936.023,14.6,60.5,11639.36,902.95,38.61,43.56
1788933937.027,4.5,60.4,95.59,697.04,347.52,347.52
1788933938.031,12.5,60.5,1409.95,697.01,27.88,27.88
1788933939.031,15.9,60.4,3571.79,767.96,45.0,45.0
1788933940.032,5.8,60.5,999.15,503.57,31.97,31.97
1788933941.039,22.1,60.5,1009.29,1351.02,36.76,34.77
1788933942.05,17.2,60.6,6351.41,1127.82,95.96,171.15
1788933943.06,7.5,60.5,1152.11,364.24,378.1,393.94
1788933944.07,13.0,60.6,498.95,803.87,77.22,144.54
1788933945.08,9.9,60.6,1330.66,3073.19,170.29,169.3
1788933946.09,14.4,60.5,2111.03,1045.61,64.36,68.32
1788933947.1,12.4,60.5,1334.36,2082.72,14.85,59.39
1788933948.11,7.5,60.2,277.26,178.24,47.53,148.53
1788933954.525,18.2,60.2,56.12,818.13,2.34,1.87
1788933955.535,4.6,60.2,2974.55,3065.65,13.86,18.81
1788933956.546,4.4,60.2,0.0,102.88,7.91,45.51
1788933957.553,9.9,60.2,47.65,103.24,50.63,280.92
1788933958.563,9.8,60.1,6558.75,99.01,24.75,24.75
1788933959.569,9.5,60.0,0.0,99.42,23.86,91.47
1788933960.579,12.1,60.3,15.84,110.89,49.51,137.63
1788933961.589,5.1,60.3,0.0,106.94,29.7,74.26
1788933962.599,4.5,60.2,0.0,99.02,25.74,63.37
1788933963.609,5.0,60.1,0.0,102.91,22.76,109.83
1788933964.619,3.4,60.1,0.0,99.01,7.92,3.96
1788933965.63,5.3,60.2,0.0,118.73,12.86,67.28
1788933966.641,3.6,60.2,0.0,98.87,20.76,67.23
1788933967.651,3.1,60.1,67.32,95.05,18.81,75.25
1788933968.662,3.6,60.1,0.0,98.9,20.77,141.43
1788933969.673,4.1,60.1,0.0,102.92,23.75,80.16
1788933970.683,9.2,60.1,142.57,4075.08,43.56,83.16
1788933971.693,7.5,60.1,11.88,154.46,36.63,86.14
1788933972.697,3.5,60.1,0.0,99.55,15.93,15.93
1788933973.707,3.7,60.1,0.0,99.01,19.8,69.31
1788933974.718,4.7,60.1,0.0,98.99,17.82,100.97
1788933975.728,7.1,60.1,3786.15,106.93,27.72,77.23
1788933976.738,3.2,60.1,0.0,94.99,11.87,72.23
1788933977.748,4.4,60.1,0.0,99.0,23.76,70.29
1788933978.758,5.0,60.1,0.0,106.92,19.8,77.22
1788933979.768,4.2,60.1,3.96,613.86,19.8,108.91
1788933980.779,3.3,60.1,27.71,98.98,14.85,25.74
1788933981.789,25.2,63.6,15144.02,1923.68,37.6,95.99
1788933982.794,11.1,62.8,1257.7,103.48,35.82,82.59
1788933983.799,12.9,63.0,63.68,103.48,36.82,83.58
1788933984.803,18.4,64.0,75.73,103.63,22.92,102.64
1788933985.809,11.6,63.3,4169.8,365.7,21.86,73.54
1788933986.812,14.3,60.3,989.19,319.09,91.74,585.34
1788933987.817,8.2,59.9,0.0,103.48,32.84,87.56
1788933988.822,17.4,60.1,684.57,306.46,127.36,624.87
1788933989.828,13.6,60.2,47.73,226.72,21.88,634.41
1788933990.833,13.6,60.0,31.84,103.48,6.97,66.67
1788933991.838,13.5,61.2,0.0,111.38,43.76,142.21
1788933992.842,9.9,60.8,83.66,171.3,7.97,1.99
1788933993.843,22.8,60.4,687.25,287.69,137.85,803.12
1788933994.848,11.6,60.3,0.0,99.5,21.89,91.54
1788933995.854,10.2,59.9,2768.6,2931.7,30.83,89.5
1788933996.859,8.6,59.3,51.74,99.5,32.83,86.56
1788933997.864,10.1,59.2,0.0,103.48,12.94,7.96
1788933998.869,7.3,59.1,31.83,107.44,5.97,61.68
1788933999.875,6.9,58.9,0.0,99.48,19.9,72.62
1788934000.88,11.5,59.6,0.0,7530.2,37.81,756.2
1788934001.885,16.2,59.3,0.0,222.76,30.83,85.52
1788934002.891,9.3,58.9,0.0,99.44,15.91,66.62
1788934003.894,24.8,60.9,10607.67,3397.64,35.89,87.73
1788934004.899,11.3,60.5,163.18,171.14,16.92,75.62
1788934005.904,9.9,59.5,19.9,123.38,28.85,85.57
1788934006.909,7.0,59.4,437.8,99.5,21.89,74.63
1788934007.913,11.4,60.4,494.06,183.28,7.97,7.97
1788934008.918,9.2,59.6,19.9,99.5,10.94,65.67
